"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"f:\REPO\Algorithms-2-Project\App\README.md", "Markdown", 0, 0, 0, 1, 1
"f:\REPO\Algorithms-2-Project\App\src\App.java", "Java", 7, 0, 2, 2, 11
"f:\REPO\Algorithms-2-Project\App\src\Modules\App1\FileHandler1.java", "Java", 53, 0, 13, 16, 82
"f:\REPO\Algorithms-2-Project\App\src\Modules\App1\RunQ1.java", "Java", 6, 0, 0, 3, 9
"f:\REPO\Algorithms-2-Project\App\src\Modules\App1\Tree1.java", "Java", 7, 0, 0, 4, 11
"f:\REPO\Algorithms-2-Project\App\src\Modules\App1\TreeNode1.java", "Java", 20, 0, 0, 5, 25
"f:\REPO\Algorithms-2-Project\App\src\Modules\App2\BinaryNode2.java", "Java", 12, 0, 0, 2, 14
"f:\REPO\Algorithms-2-Project\App\src\Modules\App2\FileHandler2.java", "Java", 140, 0, 15, 23, 178
"f:\REPO\Algorithms-2-Project\App\src\Modules\App2\GeneralNode2.java", "Java", 18, 0, 0, 5, 23
"f:\REPO\Algorithms-2-Project\App\src\Modules\App2\RunQ2.java", "Java", 16, 0, 2, 8, 26
"f:\REPO\Algorithms-2-Project\App\src\Modules\App2\Tree2.java", "Java", 137, 0, 127, 63, 327
"f:\REPO\Algorithms-2-Project\App\src\Modules\App2\TreeNode2.java", "Java", 6, 0, 0, 3, 9
"Total", "-", 422, 0, 159, 135, 716